Data Extracted from EPA's FLIGHT Tool (http://ghgdata.epa.gov/ghgp),,,,,,,,,,,,
The data was reported to EPA by facilities as of 09/26/2020,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4,,,,,,,,,,,,
Search Parameters: year=2018; state=FL; GHGs=ALL; data type=All Emitters; emissionsType=FC_PP; ,,,,,,,,,,,,
,,,,,,,,,,,,
REPORTING YEAR,FACILITY NAME,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY NAME,COUNTY NAME,STATE,ZIP CODE,PARENT COMPANIES,GHG QUANTITY (METRIC TONS CO2e),SUBPARTS
2018,"Alexander Orr, Jr. Water Treatment Plant",1012573,6800 SW 87TH AVE,25.708072,-80.336146,MIAMI,MIAMI-DADE COUNTY,FL,33173,MIAMI DADE WATER & SEWER DEPARTMENT (100%),6918,C
2018,Arvah B Hopkins,1007189,1125 GEDDIE ROAD,30.4522,-84.4,TALLAHASSEE,Leon,FL,32304,CITY OF TALLAHASSEE (100%),979,"C,D"
2018,Ascend Performance Materials LLC,1004962,3000 Old Chemstrand Road,30.596678,-87.251977,Cantonment,ESCAMBIA COUNTY,FL,32533,ASCEND PERFORMANCE MATERIALS LLC (100%),1948,"C,E,P,TT,V"
2018,Brandy Branch,1001167,15701 W BEAVER ST,30.3206,-81.9486,BALDWIN,Duval,FL,32234,JEA (100%),6919,"C,D"
2018,Brooksville South Cement Plant,1003303,10311 CEMENT PLANT ROAD,28.582265,-82.430829,BROOKSVILLE,HERNANDO COUNTY,FL,34601,CEMEX INC (100%),348,"C,H"
2018,C D McIntosh Jr Power Plant,1001500,3030 E LAKE PARKER DR,28.0809,-81.9256,LAKELAND,Polk,FL,33801,CITY OF LAKELAND (83.3%); CITY OF ORLANDO (16.7%),36,"C,D"
2018,CLEWISTON SUGAR HOUSE,1006008,1731 SOUTH WC OWEN AVENUE,26.73547,-80.93593,CLEWISTON,HENDRY COUNTY,FL,33440,US SUGAR CORP (100%),5442,C
2018,Cape Canaveral,1007650,6000 NORTH US HWY 1,28.4694,-80.7642,COCOA,Brevard,FL,32927,FPL GROUP INC (100%),4211,D
2018,Cedar Trails Class III,1004750,2500 State Road 60 West,27.89808,-81.884525,Bartow,POLK COUNTY,FL,33830,REPUBLIC SERVICES INC (100%),0,"C,HH"
2018,Charles Larsen Memorial Power Plant,1001499,2002 E RD 92,28.0491,-81.9238,LAKELAND,Polk,FL,33801,CITY OF LAKELAND (100%),4,"C,D"
2018,Crist Electric Generating Plant,1006702,11999 PATE ST,30.5661,-87.2289,PENSACOLA,Escambia,FL,32514,SOUTHERN CO (100%),1901,D
2018,DeBary Power Plant,1001014,176 WEST HIGHBANKS RD,28.9047,-81.3319,DEBARY,Volusia,FL,32713,DUKE ENERGY CORP (100%),26627,"C,D"
2018,Deerhaven,1001495,10001 NW 13TH ST,29.7586,-82.3883,GAINESVILLE,Alachua,FL,32653,CITY OF GAINESVILLE (100%),2908,"C,D"
